[Wed Mar 25 20:42:25 KST 2015] Asvm-Accuracy: 0.4949 | a-Rate: 0.001 | C: 0.01 | gamma: 0.5
[Wed Mar 25 20:42:28 KST 2015] Asvm-Accuracy: 0.4343 | a-Rate: 0.01 | C: 100.0 | gamma: 0.5
[Wed Mar 25 20:42:28 KST 2015] Asvm-Accuracy: 0.5051 | a-Rate: 0.01 | C: 100.0 | gamma: 0.05
[Wed Mar 25 20:42:31 KST 2015] Asvm-Accuracy: 0.4040 | a-Rate: 0.01 | C: 100.0 | gamma: 0.005
[Wed Mar 25 20:42:31 KST 2015] Asvm-Accuracy: 0.5051 | a-Rate: 0.01 | C: 100.0 | gamma: 5.0E-4
[Wed Mar 25 20:42:31 KST 2015] Asvm-Accuracy: 0.4949 | a-Rate: 0.1 | C: 0.01 | gamma: 0.5
[Wed Mar 25 20:42:31 KST 2015] Asvm-Accuracy: 0.4949 | a-Rate: 0.1 | C: 0.01 | gamma: 0.05
[Wed Mar 25 20:42:31 KST 2015] Asvm-Accuracy: 0.4949 | a-Rate: 0.1 | C: 0.01 | gamma: 0.005
[Wed Mar 25 20:42:32 KST 2015] Asvm-Accuracy: 0.4949 | a-Rate: 0.1 | C: 0.01 | gamma: 5.0E-4
[Wed Mar 25 20:42:32 KST 2015] Asvm-Accuracy: 0.4949 | a-Rate: 0.1 | C: 0.05 | gamma: 0.5
[Wed Mar 25 20:42:32 KST 2015] Asvm-Accuracy: 0.4949 | a-Rate: 0.1 | C: 0.05 | gamma: 0.05
[Wed Mar 25 20:42:32 KST 2015] Asvm-Accuracy: 0.5455 | a-Rate: 0.1 | C: 0.05 | gamma: 0.005
[Wed Mar 25 20:42:32 KST 2015] Asvm-Accuracy: 0.7071 | a-Rate: 0.1 | C: 0.05 | gamma: 5.0E-4
[Wed Mar 25 20:42:32 KST 2015] Asvm-Accuracy: 0.4949 | a-Rate: 0.1 | C: 0.1 | gamma: 0.5
[Wed Mar 25 20:42:32 KST 2015] Asvm-Accuracy: 0.5152 | a-Rate: 0.1 | C: 0.1 | gamma: 0.05
[Wed Mar 25 20:42:32 KST 2015] Asvm-Accuracy: 0.6465 | a-Rate: 0.1 | C: 0.1 | gamma: 0.005
[Wed Mar 25 20:42:32 KST 2015] Asvm-Accuracy: 0.7071 | a-Rate: 0.1 | C: 0.1 | gamma: 5.0E-4
[Wed Mar 25 20:42:32 KST 2015] Asvm-Accuracy: 0.5354 | a-Rate: 0.1 | C: 0.5 | gamma: 0.5
[Wed Mar 25 20:42:32 KST 2015] Asvm-Accuracy: 0.6061 | a-Rate: 0.1 | C: 0.5 | gamma: 0.05
[Wed Mar 25 20:42:32 KST 2015] Asvm-Accuracy: 0.6364 | a-Rate: 0.1 | C: 0.5 | gamma: 0.005
[Wed Mar 25 20:42:32 KST 2015] Asvm-Accuracy: 0.7071 | a-Rate: 0.1 | C: 0.5 | gamma: 5.0E-4
[Wed Mar 25 20:42:32 KST 2015] Asvm-Accuracy: 0.5253 | a-Rate: 0.1 | C: 1.0 | gamma: 0.5
[Wed Mar 25 20:42:32 KST 2015] Asvm-Accuracy: 0.6263 | a-Rate: 0.1 | C: 1.0 | gamma: 0.05
[Wed Mar 25 20:42:32 KST 2015] Asvm-Accuracy: 0.5556 | a-Rate: 0.1 | C: 1.0 | gamma: 0.005
[Wed Mar 25 20:42:32 KST 2015] Asvm-Accuracy: 0.7071 | a-Rate: 0.1 | C: 1.0 | gamma: 5.0E-4
[Wed Mar 25 20:42:33 KST 2015] Asvm-Accuracy: 0.4848 | a-Rate: 0.1 | C: 10.0 | gamma: 0.5
[Wed Mar 25 20:42:33 KST 2015] Asvm-Accuracy: 0.5253 | a-Rate: 0.1 | C: 10.0 | gamma: 0.05
[Wed Mar 25 20:42:33 KST 2015] Asvm-Accuracy: 0.6162 | a-Rate: 0.1 | C: 10.0 | gamma: 0.005
[Wed Mar 25 20:42:33 KST 2015] Asvm-Accuracy: 0.7172 | a-Rate: 0.1 | C: 10.0 | gamma: 5.0E-4
[Wed Mar 25 20:42:33 KST 2015] Asvm-Accuracy: 0.4545 | a-Rate: 0.1 | C: 100.0 | gamma: 0.5
[Wed Mar 25 20:42:34 KST 2015] Asvm-Accuracy: 0.4949 | a-Rate: 0.1 | C: 100.0 | gamma: 0.05
[Wed Mar 25 20:42:34 KST 2015] Asvm-Accuracy: 0.5051 | a-Rate: 0.1 | C: 100.0 | gamma: 0.005
[Wed Mar 25 20:42:34 KST 2015] Asvm-Accuracy: 0.4040 | a-Rate: 0.1 | C: 100.0 | gamma: 5.0E-4
[Wed Mar 25 20:42:34 KST 2015] Asvm-Accuracy: 0.4949 | a-Rate: 1.0 | C: 0.01 | gamma: 0.5
[Wed Mar 25 20:42:34 KST 2015] Asvm-Accuracy: 0.4949 | a-Rate: 1.0 | C: 0.01 | gamma: 0.05
[Wed Mar 25 20:42:34 KST 2015] Asvm-Accuracy: 0.4949 | a-Rate: 1.0 | C: 0.01 | gamma: 0.005
[Wed Mar 25 20:42:34 KST 2015] Asvm-Accuracy: 0.4949 | a-Rate: 1.0 | C: 0.01 | gamma: 5.0E-4
[Wed Mar 25 20:42:34 KST 2015] Asvm-Accuracy: 0.4949 | a-Rate: 1.0 | C: 0.05 | gamma: 0.5
[Wed Mar 25 20:42:35 KST 2015] Asvm-Accuracy: 0.4949 | a-Rate: 1.0 | C: 0.05 | gamma: 0.05
[Wed Mar 25 20:42:35 KST 2015] Asvm-Accuracy: 0.4949 | a-Rate: 1.0 | C: 0.05 | gamma: 0.005
[Wed Mar 25 20:42:35 KST 2015] Asvm-Accuracy: 0.4949 | a-Rate: 1.0 | C: 0.05 | gamma: 5.0E-4
[Wed Mar 25 20:42:35 KST 2015] Asvm-Accuracy: 0.4949 | a-Rate: 1.0 | C: 0.1 | gamma: 0.5
[Wed Mar 25 20:42:35 KST 2015] Asvm-Accuracy: 0.4949 | a-Rate: 1.0 | C: 0.1 | gamma: 0.05
[Wed Mar 25 20:42:35 KST 2015] Asvm-Accuracy: 0.5051 | a-Rate: 1.0 | C: 0.1 | gamma: 0.005
[Wed Mar 25 20:42:35 KST 2015] Asvm-Accuracy: 0.4949 | a-Rate: 1.0 | C: 0.1 | gamma: 5.0E-4
[Wed Mar 25 20:42:35 KST 2015] Asvm-Accuracy: 0.5455 | a-Rate: 1.0 | C: 0.5 | gamma: 0.5
[Wed Mar 25 20:42:35 KST 2015] Asvm-Accuracy: 0.5556 | a-Rate: 1.0 | C: 0.5 | gamma: 0.05
[Wed Mar 25 20:42:35 KST 2015] Asvm-Accuracy: 0.5556 | a-Rate: 1.0 | C: 0.5 | gamma: 0.005
[Wed Mar 25 20:42:35 KST 2015] Asvm-Accuracy: 0.6162 | a-Rate: 1.0 | C: 0.5 | gamma: 5.0E-4
[Wed Mar 25 20:42:35 KST 2015] Asvm-Accuracy: 0.5455 | a-Rate: 1.0 | C: 1.0 | gamma: 0.5
[Wed Mar 25 20:42:35 KST 2015] Asvm-Accuracy: 0.5859 | a-Rate: 1.0 | C: 1.0 | gamma: 0.05
[Wed Mar 25 20:42:35 KST 2015] Asvm-Accuracy: 0.5556 | a-Rate: 1.0 | C: 1.0 | gamma: 0.005
[Wed Mar 25 20:42:35 KST 2015] Asvm-Accuracy: 0.6162 | a-Rate: 1.0 | C: 1.0 | gamma: 5.0E-4
[Wed Mar 25 20:42:35 KST 2015] Asvm-Accuracy: 0.4848 | a-Rate: 1.0 | C: 10.0 | gamma: 0.5
[Wed Mar 25 20:42:35 KST 2015] Asvm-Accuracy: 0.5455 | a-Rate: 1.0 | C: 10.0 | gamma: 0.05
[Wed Mar 25 20:42:35 KST 2015] Asvm-Accuracy: 0.6364 | a-Rate: 1.0 | C: 10.0 | gamma: 0.005
[Wed Mar 25 20:42:35 KST 2015] Asvm-Accuracy: 0.6061 | a-Rate: 1.0 | C: 10.0 | gamma: 5.0E-4
[Wed Mar 25 20:42:35 KST 2015] Asvm-Accuracy: 0.4747 | a-Rate: 1.0 | C: 100.0 | gamma: 0.5
[Wed Mar 25 20:42:36 KST 2015] Asvm-Accuracy: 0.5758 | a-Rate: 1.0 | C: 100.0 | gamma: 0.05
[Wed Mar 25 20:42:36 KST 2015] Asvm-Accuracy: 0.5051 | a-Rate: 1.0 | C: 100.0 | gamma: 0.005
[Wed Mar 25 20:42:36 KST 2015] Asvm-Accuracy: 0.5051 | a-Rate: 1.0 | C: 100.0 | gamma: 5.0E-4
[Wed Mar 25 20:42:36 KST 2015] Asvm-Accuracy: 0.4949 | a-Rate: 10.0 | C: 0.01 | gamma: 0.5
[Wed Mar 25 20:42:36 KST 2015] Asvm-Accuracy: 0.4949 | a-Rate: 10.0 | C: 0.01 | gamma: 0.05
[Wed Mar 25 20:42:36 KST 2015] Asvm-Accuracy: 0.4949 | a-Rate: 10.0 | C: 0.01 | gamma: 0.005
[Wed Mar 25 20:42:36 KST 2015] Asvm-Accuracy: 0.4949 | a-Rate: 10.0 | C: 0.01 | gamma: 5.0E-4
[Wed Mar 25 20:42:36 KST 2015] Asvm-Accuracy: 0.4949 | a-Rate: 10.0 | C: 0.05 | gamma: 0.5
[Wed Mar 25 20:42:36 KST 2015] Asvm-Accuracy: 0.4949 | a-Rate: 10.0 | C: 0.05 | gamma: 0.05
[Wed Mar 25 20:42:36 KST 2015] Asvm-Accuracy: 0.4949 | a-Rate: 10.0 | C: 0.05 | gamma: 0.005
[Wed Mar 25 20:42:36 KST 2015] Asvm-Accuracy: 0.4949 | a-Rate: 10.0 | C: 0.05 | gamma: 5.0E-4
[Wed Mar 25 20:42:36 KST 2015] Asvm-Accuracy: 0.4949 | a-Rate: 10.0 | C: 0.1 | gamma: 0.5
[Wed Mar 25 20:42:36 KST 2015] Asvm-Accuracy: 0.4949 | a-Rate: 10.0 | C: 0.1 | gamma: 0.05
[Wed Mar 25 20:42:36 KST 2015] Asvm-Accuracy: 0.4949 | a-Rate: 10.0 | C: 0.1 | gamma: 0.005
[Wed Mar 25 20:42:36 KST 2015] Asvm-Accuracy: 0.4949 | a-Rate: 10.0 | C: 0.1 | gamma: 5.0E-4
[Wed Mar 25 20:42:36 KST 2015] Asvm-Accuracy: 0.4949 | a-Rate: 10.0 | C: 0.5 | gamma: 0.5
[Wed Mar 25 20:42:36 KST 2015] Asvm-Accuracy: 0.4949 | a-Rate: 10.0 | C: 0.5 | gamma: 0.05
[Wed Mar 25 20:42:36 KST 2015] Asvm-Accuracy: 0.4949 | a-Rate: 10.0 | C: 0.5 | gamma: 0.005
[Wed Mar 25 20:42:36 KST 2015] Asvm-Accuracy: 0.4949 | a-Rate: 10.0 | C: 0.5 | gamma: 5.0E-4
[Wed Mar 25 20:42:36 KST 2015] Asvm-Accuracy: 0.4949 | a-Rate: 10.0 | C: 1.0 | gamma: 0.5
[Wed Mar 25 20:42:36 KST 2015] Asvm-Accuracy: 0.4949 | a-Rate: 10.0 | C: 1.0 | gamma: 0.05
[Wed Mar 25 20:42:37 KST 2015] Asvm-Accuracy: 0.4949 | a-Rate: 10.0 | C: 1.0 | gamma: 0.005
[Wed Mar 25 20:42:37 KST 2015] Asvm-Accuracy: 0.4949 | a-Rate: 10.0 | C: 1.0 | gamma: 5.0E-4
[Wed Mar 25 20:42:37 KST 2015] Asvm-Accuracy: 0.5051 | a-Rate: 10.0 | C: 10.0 | gamma: 0.5
[Wed Mar 25 20:42:37 KST 2015] Asvm-Accuracy: 0.4949 | a-Rate: 10.0 | C: 10.0 | gamma: 0.05
[Wed Mar 25 20:42:37 KST 2015] Asvm-Accuracy: 0.4949 | a-Rate: 10.0 | C: 10.0 | gamma: 0.005
[Wed Mar 25 20:42:37 KST 2015] Asvm-Accuracy: 0.4949 | a-Rate: 10.0 | C: 10.0 | gamma: 5.0E-4
[Wed Mar 25 20:42:37 KST 2015] Asvm-Accuracy: 0.4343 | a-Rate: 10.0 | C: 100.0 | gamma: 0.5
[Wed Mar 25 20:42:37 KST 2015] Asvm-Accuracy: 0.4949 | a-Rate: 10.0 | C: 100.0 | gamma: 0.05
[Wed Mar 25 20:42:37 KST 2015] Asvm-Accuracy: 0.4949 | a-Rate: 10.0 | C: 100.0 | gamma: 0.005
[Wed Mar 25 20:42:37 KST 2015] Asvm-Accuracy: 0.4949 | a-Rate: 10.0 | C: 100.0 | gamma: 5.0E-4
[Wed Mar 25 20:42:37 KST 2015] Asvm-Accuracy: 0.4949 | a-Rate: 100.0 | C: 0.01 | gamma: 0.5
[Wed Mar 25 20:42:37 KST 2015] Asvm-Accuracy: 0.4949 | a-Rate: 100.0 | C: 0.01 | gamma: 0.05
[Wed Mar 25 20:42:37 KST 2015] Asvm-Accuracy: 0.4949 | a-Rate: 100.0 | C: 0.01 | gamma: 0.005
[Wed Mar 25 20:42:37 KST 2015] Asvm-Accuracy: 0.4949 | a-Rate: 100.0 | C: 0.01 | gamma: 5.0E-4
[Wed Mar 25 20:42:37 KST 2015] Asvm-Accuracy: 0.4949 | a-Rate: 100.0 | C: 0.05 | gamma: 0.5
[Wed Mar 25 20:42:37 KST 2015] Asvm-Accuracy: 0.4949 | a-Rate: 100.0 | C: 0.05 | gamma: 0.05
[Wed Mar 25 20:42:37 KST 2015] Asvm-Accuracy: 0.4949 | a-Rate: 100.0 | C: 0.05 | gamma: 0.005
[Wed Mar 25 20:42:37 KST 2015] Asvm-Accuracy: 0.4949 | a-Rate: 100.0 | C: 0.05 | gamma: 5.0E-4
[Wed Mar 25 20:42:37 KST 2015] Asvm-Accuracy: 0.4949 | a-Rate: 100.0 | C: 0.1 | gamma: 0.5
[Wed Mar 25 20:42:37 KST 2015] Asvm-Accuracy: 0.4949 | a-Rate: 100.0 | C: 0.1 | gamma: 0.05
[Wed Mar 25 20:42:37 KST 2015] Asvm-Accuracy: 0.4949 | a-Rate: 100.0 | C: 0.1 | gamma: 0.005
[Wed Mar 25 20:42:37 KST 2015] Asvm-Accuracy: 0.4949 | a-Rate: 100.0 | C: 0.1 | gamma: 5.0E-4
[Wed Mar 25 20:42:37 KST 2015] Asvm-Accuracy: 0.4949 | a-Rate: 100.0 | C: 0.5 | gamma: 0.5
[Wed Mar 25 20:42:37 KST 2015] Asvm-Accuracy: 0.4949 | a-Rate: 100.0 | C: 0.5 | gamma: 0.05
[Wed Mar 25 20:42:37 KST 2015] Asvm-Accuracy: 0.4949 | a-Rate: 100.0 | C: 0.5 | gamma: 0.005
[Wed Mar 25 20:42:37 KST 2015] Asvm-Accuracy: 0.4949 | a-Rate: 100.0 | C: 0.5 | gamma: 5.0E-4
[Wed Mar 25 20:42:37 KST 2015] Asvm-Accuracy: 0.4949 | a-Rate: 100.0 | C: 1.0 | gamma: 0.5
[Wed Mar 25 20:42:37 KST 2015] Asvm-Accuracy: 0.4949 | a-Rate: 100.0 | C: 1.0 | gamma: 0.05
[Wed Mar 25 20:42:38 KST 2015] Asvm-Accuracy: 0.4949 | a-Rate: 100.0 | C: 1.0 | gamma: 0.005
[Wed Mar 25 20:42:38 KST 2015] Asvm-Accuracy: 0.4949 | a-Rate: 100.0 | C: 1.0 | gamma: 5.0E-4
[Wed Mar 25 20:42:38 KST 2015] Asvm-Accuracy: 0.4949 | a-Rate: 100.0 | C: 10.0 | gamma: 0.5
[Wed Mar 25 20:42:38 KST 2015] Asvm-Accuracy: 0.4949 | a-Rate: 100.0 | C: 10.0 | gamma: 0.05
[Wed Mar 25 20:42:38 KST 2015] Asvm-Accuracy: 0.4949 | a-Rate: 100.0 | C: 10.0 | gamma: 0.005
[Wed Mar 25 20:42:38 KST 2015] Asvm-Accuracy: 0.4949 | a-Rate: 100.0 | C: 10.0 | gamma: 5.0E-4
[Wed Mar 25 20:42:38 KST 2015] Asvm-Accuracy: 0.4949 | a-Rate: 100.0 | C: 100.0 | gamma: 0.5
[Wed Mar 25 20:42:38 KST 2015] Asvm-Accuracy: 0.4949 | a-Rate: 100.0 | C: 100.0 | gamma: 0.05
[Wed Mar 25 20:42:38 KST 2015] Asvm-Accuracy: 0.4949 | a-Rate: 100.0 | C: 100.0 | gamma: 0.005
[Wed Mar 25 20:42:38 KST 2015] Asvm-Accuracy: 0.4949 | a-Rate: 100.0 | C: 100.0 | gamma: 5.0E-4
