[Wed Mar 25 20:39:59 KST 2015] Accuracy: 0.4800 | C: 0.01 | gamma: 0.5
[Wed Mar 25 20:39:59 KST 2015] Accuracy: 0.4800 | C: 0.01 | gamma: 0.05
[Wed Mar 25 20:39:59 KST 2015] Accuracy: 0.4800 | C: 0.01 | gamma: 0.005
[Wed Mar 25 20:39:59 KST 2015] Accuracy: 0.4800 | C: 0.01 | gamma: 5.0E-4
[Wed Mar 25 20:39:59 KST 2015] Accuracy: 0.4800 | C: 0.05 | gamma: 0.5
[Wed Mar 25 20:39:59 KST 2015] Accuracy: 0.4800 | C: 0.05 | gamma: 0.05
[Wed Mar 25 20:39:59 KST 2015] Accuracy: 0.4800 | C: 0.05 | gamma: 0.005
[Wed Mar 25 20:39:59 KST 2015] Accuracy: 0.4800 | C: 0.05 | gamma: 5.0E-4
[Wed Mar 25 20:39:59 KST 2015] Accuracy: 0.4800 | C: 0.1 | gamma: 0.5
[Wed Mar 25 20:39:59 KST 2015] Accuracy: 0.4800 | C: 0.1 | gamma: 0.05
[Wed Mar 25 20:39:59 KST 2015] Accuracy: 0.4600 | C: 0.1 | gamma: 0.005
[Wed Mar 25 20:39:59 KST 2015] Accuracy: 0.4800 | C: 0.1 | gamma: 5.0E-4
[Wed Mar 25 20:39:59 KST 2015] Accuracy: 0.4700 | C: 0.5 | gamma: 0.5
[Wed Mar 25 20:39:59 KST 2015] Accuracy: 0.4600 | C: 0.5 | gamma: 0.05
[Wed Mar 25 20:39:59 KST 2015] Accuracy: 0.4700 | C: 0.5 | gamma: 0.005
[Wed Mar 25 20:39:59 KST 2015] Accuracy: 0.4800 | C: 0.5 | gamma: 5.0E-4
[Wed Mar 25 20:40:00 KST 2015] Accuracy: 0.4500 | C: 1.0 | gamma: 0.5
[Wed Mar 25 20:40:00 KST 2015] Accuracy: 0.4700 | C: 1.0 | gamma: 0.05
[Wed Mar 25 20:40:00 KST 2015] Accuracy: 0.4600 | C: 1.0 | gamma: 0.005
[Wed Mar 25 20:40:00 KST 2015] Accuracy: 0.4600 | C: 1.0 | gamma: 5.0E-4
[Wed Mar 25 20:40:00 KST 2015] Accuracy: 0.4600 | C: 10.0 | gamma: 0.5
[Wed Mar 25 20:40:00 KST 2015] Accuracy: 0.4700 | C: 10.0 | gamma: 0.05
[Wed Mar 25 20:40:00 KST 2015] Accuracy: 0.4600 | C: 10.0 | gamma: 0.005
[Wed Mar 25 20:40:00 KST 2015] Accuracy: 0.4800 | C: 10.0 | gamma: 5.0E-4
[Wed Mar 25 20:40:00 KST 2015] Accuracy: 0.5000 | C: 100.0 | gamma: 0.5
[Wed Mar 25 20:40:00 KST 2015] Accuracy: 0.5000 | C: 100.0 | gamma: 0.05
[Wed Mar 25 20:40:00 KST 2015] Accuracy: 0.4700 | C: 100.0 | gamma: 0.005
[Wed Mar 25 20:40:00 KST 2015] Accuracy: 0.4600 | C: 100.0 | gamma: 5.0E-4
[Wed Mar 25 20:40:00 KST 2015] Accuracy: 0.5100 | C: 1000.0 | gamma: 0.5
[Wed Mar 25 20:40:00 KST 2015] Accuracy: 0.5000 | C: 1000.0 | gamma: 0.05
[Wed Mar 25 20:40:00 KST 2015] Accuracy: 0.4600 | C: 1000.0 | gamma: 0.005
[Wed Mar 25 20:40:01 KST 2015] Accuracy: 0.4700 | C: 1000.0 | gamma: 5.0E-4
